station_id,station_name,longitude,latitude,u_bahn_lines
de:11000:900001201,S+U Westhafen (Berlin),13.343837,52.536183,U9
de:11000:900002201,U Birkenstr. (Berlin),13.341418,52.532269,U9
de:11000:900003101,U Hansaplatz (Berlin),13.342165,52.518111,U9
de:11000:900003104,U Turmstr. (Berlin),13.341417,52.525938,U9
de:11000:900003201,S+U Berlin Hauptbahnhof,13.369075,52.525605,U5
de:11000:900003254,U Bundestag (Berlin),13.372952,52.52011,U5
de:11000:900005201,U Kurfürstenstr. (Berlin),13.362857,52.499778,"U1,U3"
de:11000:900005252,U Mendelssohn-Bartholdy-Park (Berlin),13.374679,52.503185,U2
de:11000:900007102,S+U Gesundbrunnen Bhf (Berlin),13.388372,52.548637,U8
de:11000:900007103,U Voltastr. (Berlin),13.393157,52.54193,U8
de:11000:900007110,U Bernauer Str. (Berlin),13.396231,52.537994,U8
de:11000:900008102,U Reinickendorfer Str. (Berlin),13.370382,52.539887,U6
de:11000:900009101,U Amrumer Str. (Berlin),13.349534,52.542202,U9
de:11000:900009102,U Leopoldplatz (Berlin),13.359395,52.546493,"U6,U9"
de:11000:900009103,U Seestr. (Berlin),13.351969,52.55047,U6
de:11000:900009104,S+U Wedding (Berlin),13.36606,52.542732,U6
de:11000:900009201,U Nauener Platz (Berlin),13.367365,52.551524,U9
de:11000:900009202,U Osloer Str. (Berlin),13.373279,52.557107,"U8,U9"
de:11000:900009203,U Pankstr. (Berlin),13.381437,52.55228,U8
de:11000:900011101,U Rehberge (Berlin),13.341013,52.55667,U6
de:11000:900011102,U Afrikanische Str. (Berlin),13.333502,52.560862,U6
de:11000:900012102,U Kochstr. (Checkpoint Charlie) (Berlin),13.390863,52.506673,U6
de:11000:900012103,U Hallesches Tor (Berlin),13.39176,52.497774,"U1,U3,U6"
de:11000:900013101,U Moritzplatz (Berlin),13.410947,52.503739,U8
de:11000:900013102,U Kottbusser Tor (Berlin),13.417748,52.499047,"U1,U3,U8"
de:11000:900013103,U Prinzenstr. (Berlin),13.406551,52.498327,"U1,U3"
de:11000:900014101,U Görlitzer Bahnhof (Berlin),13.427145,52.499145,"U1,U3"
de:11000:900014102,U Schlesisches Tor (Berlin),13.441791,52.501147,"U1,U3"
de:11000:900016101,U Gneisenaustr. (Berlin),13.395382,52.491252,U7
de:11000:900016201,U Schönleinstr. (Berlin),13.421912,52.493341,U8
de:11000:900016202,U Südstern (Berlin),13.407685,52.489219,U7
de:11000:900017101,U Mehringdamm (Berlin),13.38814,52.493567,"U6,U7"
de:11000:900017102,U Platz der Luftbrücke (Berlin),13.385927,52.48487,U6
de:11000:900017103,U Gleisdreieck (Berlin),13.374293,52.499587,"U1,U2,U3"
de:11000:900017104,U Möckernbrücke (Berlin),13.383256,52.498944,"U1,U3,U7"
de:11000:900018101,U Jakob-Kaiser-Platz (Berlin),13.293661,52.536985,U7
