station_id_1,station_id_2
de:11000:900001201,de:11000:900002201
de:11000:900001201,de:11000:900009101
de:11000:900002201,de:11000:900003104
de:11000:900003101,de:11000:900003104
de:11000:900003101,de:11000:900023201
de:11000:900003201,de:11000:900003254
de:11000:900003254,de:11000:900100025
de:11000:900005201,de:11000:900017103
de:11000:900005201,de:11000:900056102
de:11000:900005252,de:11000:900017103
de:11000:900005252,de:11000:900100020
de:11000:900007102,de:11000:900007103
de:11000:900007102,de:11000:900009203
de:11000:900007103,de:11000:900007110
de:11000:900007110,de:11000:900100023
de:11000:900008102,de:11000:900009104
de:11000:900008102,de:11000:900100501
de:11000:900009101,de:11000:900009102
de:11000:900009102,de:11000:900009103
de:11000:900009102,de:11000:900009104
de:11000:900009102,de:11000:900009201
de:11000:900009102,de:11000:900011101
de:11000:900009103,de:11000:900011101
de:11000:900009201,de:11000:900009202
de:11000:900009202,de:11000:900009203
de:11000:900009202,de:11000:900085202
de:11000:900011101,de:11000:900011102
de:11000:900011102,de:11000:900086102
de:11000:900012102,de:11000:900012103
de:11000:900012102,de:11000:900100011
de:11000:900012103,de:11000:900013103
de:11000:900012103,de:11000:900017101
de:11000:900012103,de:11000:900017104
de:11000:900013101,de:11000:900013102
de:11000:900013101,de:11000:900100008
de:11000:900013102,de:11000:900013103
de:11000:900013102,de:11000:900014101
de:11000:900013102,de:11000:900016201
de:11000:900014101,de:11000:900014102
de:11000:900014102,de:11000:900120004
de:11000:900016101,de:11000:900016202
de:11000:900016101,de:11000:900017101
de:11000:900016201,de:11000:900078101
de:11000:900016202,de:11000:900078101
de:11000:900017101,de:11000:900017102
de:11000:900017101,de:11000:900017104
de:11000:900017102,de:11000:900068101
de:11000:900017103,de:11000:900017104
de:11000:900017103,de:11000:900056104
de:11000:900017104,de:11000:900057103
de:11000:900018101,de:11000:900018102
de:11000:900018101,de:11000:900020201
de:11000:900018102,de:11000:900035101
de:11000:900019204,de:11000:900020201
de:11000:900019204,de:11000:900022202
de:11000:900022101,de:11000:900024201
de:11000:900022101,de:11000:900026202
de:11000:900022201,de:11000:900023101
de:11000:900022201,de:11000:900024201
de:11000:900022202,de:11000:900024201
de:11000:900023101,de:11000:900023201
de:11000:900023201,de:11000:900023203
de:11000:900023201,de:11000:900056101
de:11000:900023202,de:11000:900042101
de:11000:900023202,de:11000:900056101
de:11000:900023203,de:11000:900023301
de:11000:900023203,de:11000:900042101
de:11000:900023203,de:11000:900056101
de:11000:900023302,de:11000:900024202
de:11000:900023302,de:11000:900041201
de:11000:900024201,de:11000:900024202
